BENCHMARK STARTED
1539956088.168278 54
1539956088.429495 54
1539956088.690683 58
1539956088.951871 58
1539956089.212836 58
1539956089.474292 58
1539956089.735331 58
1539956089.996521 58
1539956090.268492 58
1539956090.530064 59
1539956090.791303 59
1539956091.052487 59
1539956091.313767 59
1539956091.574999 59
1539956091.836251 59
1539956092.097248 59
1539956092.358049 59
1539956092.619728 59
1539956092.880981 59
1539956093.142238 59
1539956093.403356 59
1539956093.664344 59
1539956093.925348 59
1539956094.186340 60
1539956094.447284 60
1539956094.709093 60
1539956094.970643 59
1539956095.231931 59
1539956095.493110 59
1539956095.754131 60
1539956096.015257 60
1539956096.276536 60
1539956096.539974 60
1539956096.801511 60
1539956097.062861 60
1539956097.324134 59
1539956097.585225 59
1539956097.846303 60
1539956098.107551 60
1539956098.368587 60
1539956098.633662 60
1539956098.895945 60
1539956099.157296 60
1539956099.418371 60
1539956099.679588 60
1539956099.941409 60
1539956100.202512 60
1539956100.463940 60
1539956100.724968 61
1539956100.986745 61
1539956101.248136 61
1539956101.509256 60
1539956101.770637 60
1539956102.031856 60
1539956102.293493 61
1539956102.554603 61
1539956102.815567 61
1539956103.077308 60
1539956103.338543 60
1539956103.599582 60
1539956103.860851 60
1539956104.121878 60
1539956104.383079 60
1539956104.644052 61
1539956104.904990 61
1539956105.166390 61
1539956105.427792 61
1539956105.688904 62
1539956105.950250 62
1539956106.211554 62
1539956106.473657 62
1539956106.734800 61
1539956106.995771 60
1539956107.257637 60
1539956107.518940 61
1539956107.779981 61
1539956108.041182 61
1539956108.302235 61
1539956108.563115 61
1539956108.824147 61
1539956109.085166 62
1539956109.347005 61
1539956109.608208 61
1539956109.869373 61
1539956110.130589 62
1539956110.391580 62
1539956110.652660 62
1539956110.913846 61
1539956111.175115 61
1539956111.437974 62
1539956111.699166 61
1539956111.960247 61
1539956112.221369 61
1539956112.482338 61
1539956112.743241 62
1539956113.004381 62
1539956113.265361 62
1539956113.528617 61
1539956113.789882 62
1539956114.050830 62
1539956114.311965 62
1539956114.573189 62
1539956114.834210 62
1539956115.095332 62
1539956115.356493 62
1539956115.617495 62
1539956115.879179 62
1539956116.140794 62
1539956116.402168 62
1539956116.663354 61
1539956116.924585 62
1539956117.185721 62
1539956117.446847 62
1539956117.707799 62
1539956117.969836 62
1539956118.230918 62
1539956118.492040 62
1539956118.753204 62
1539956119.014165 62
1539956119.275210 62
1539956119.536450 62
1539956119.797395 62
1539956120.059025 62
1539956120.320374 62
1539956120.581611 62
1539956120.842715 62
1539956121.103960 62
1539956121.365423 62
1539956121.626567 62
1539956121.890121 63
1539956122.151776 62
1539956122.413357 62
1539956122.674482 63
1539956122.935705 62
1539956123.197462 62
1539956123.458600 62
1539956123.719701 62
1539956123.980923 62
1539956124.242710 62
1539956124.503902 63
1539956124.764905 63
1539956125.026336 62
1539956125.291368 63
1539956125.552456 63
1539956125.813566 62
1539956126.074473 62
1539956126.336242 63
1539956126.597530 63
1539956126.858555 63
1539956127.119750 62
1539956127.380769 62
1539956127.643108 62
1539956127.904467 62
1539956128.165470 63
1539956128.427300 63
1539956128.688524 62
1539956128.949569 62
1539956129.210881 62
1539956129.471986 62
1539956129.733112 63
1539956129.994113 63
1539956130.255078 62
1539956130.516776 63
1539956130.778043 63
1539956131.039089 62
1539956131.300624 62
1539956131.561703 62
1539956131.822689 62
1539956132.083911 62
1539956132.344913 63
BENCHMARK ENDED
