BENCHMARK STARTED
1539955729.763738 54
1539955730.027649 54
1539955730.293739 56
1539955730.557501 56
1539955730.821864 56
1539955731.085936 56
1539955731.349831 58
1539955731.613334 58
1539955731.876587 58
1539955732.140534 58
1539955732.404325 58
1539955732.667827 58
1539955732.932279 58
1539955733.196109 58
1539955733.459892 58
1539955733.723595 58
1539955733.987078 58
1539955734.250475 58
1539955734.513930 58
1539955734.777676 58
1539955735.042200 58
1539955735.305867 58
1539955735.569846 58
1539955735.833451 58
1539955736.097303 58
1539955736.361204 58
1539955736.624792 58
1539955736.888300 59
1539955737.152523 59
1539955737.416199 58
1539955737.680128 58
1539955737.944551 58
1539955738.208051 58
1539955738.471822 59
1539955738.735391 59
1539955738.999015 59
1539955739.263334 59
1539955739.526859 59
1539955739.790761 59
1539955740.054411 59
1539955740.318278 60
1539955740.582051 59
1539955740.845637 59
1539955741.109649 60
1539955741.374155 59
1539955741.642420 59
1539955741.906288 59
1539955742.169817 59
1539955742.433506 59
1539955742.697246 60
1539955742.960624 60
1539955743.224074 60
1539955743.488475 60
1539955743.752255 59
1539955744.016042 59
1539955744.283370 60
1539955744.547368 60
1539955744.811133 60
1539955745.074733 59
1539955745.337935 59
1539955745.602587 59
1539955745.866268 59
1539955746.130116 59
1539955746.393590 59
1539955746.657340 60
1539955746.921249 59
1539955747.184887 59
1539955747.448920 60
1539955747.713318 60
1539955747.977384 60
1539955748.241880 60
1539955748.505686 60
1539955748.769133 60
1539955749.032836 60
1539955749.296397 60
1539955749.559869 60
1539955749.824223 60
1539955750.087947 60
1539955750.352284 60
1539955750.615943 60
1539955750.879837 60
1539955751.143437 60
1539955751.406563 60
1539955751.669894 60
1539955751.934262 60
1539955752.198072 60
1539955752.461613 60
1539955752.726118 60
1539955752.989857 60
1539955753.253635 60
1539955753.517283 60
1539955753.780741 60
1539955754.045031 60
1539955754.308862 61
1539955754.572504 60
1539955754.836279 60
1539955755.099849 60
1539955755.363718 60
1539955755.628278 60
1539955755.894651 60
1539955756.159396 60
1539955756.423201 60
1539955756.686705 60
1539955756.950464 61
1539955757.214098 61
1539955757.478081 60
1539955757.741533 60
1539955758.005110 60
1539955758.269491 60
1539955758.533206 60
1539955758.796927 60
1539955759.060718 60
1539955759.324277 61
1539955759.588063 61
1539955759.851571 61
1539955760.115029 60
1539955760.379487 60
1539955760.644634 61
1539955760.908264 60
1539955761.172271 60
1539955761.435990 60
1539955761.700277 61
1539955761.963544 61
1539955762.226769 60
1539955762.491232 60
1539955762.754983 60
1539955763.018549 60
1539955763.286065 60
1539955763.549617 60
1539955763.813126 61
1539955764.076837 60
1539955764.340469 60
1539955764.604628 61
1539955764.868590 61
1539955765.132284 61
1539955765.396056 61
1539955765.659641 61
1539955765.923263 61
1539955766.187189 61
1539955766.450852 61
1539955766.715502 61
1539955766.979343 60
1539955767.242917 60
1539955767.506782 61
1539955767.770364 60
1539955768.033902 60
1539955768.297505 60
1539955768.561145 60
1539955768.825418 60
1539955769.089022 60
1539955769.352785 60
1539955769.616462 60
1539955769.879986 62
1539955770.143648 60
1539955770.407293 60
1539955770.670796 61
1539955770.934967 62
1539955771.199623 62
1539955771.463459 61
1539955771.727355 61
1539955771.991028 61
1539955772.255075 61
1539955772.518701 61
1539955772.782160 61
1539955773.046530 61
1539955773.310334 61
1539955773.573955 61
1539955773.837860 61
1539955774.101461 61
1539955774.365186 61
1539955774.631012 61
1539955774.896559 61
1539955775.160933 61
1539955775.424600 62
1539955775.688296 61
1539955775.952062 61
1539955776.215730 61
1539955776.479511 61
1539955776.743168 61
1539955777.006643 61
1539955777.271308 61
1539955777.535127 62
1539955777.798655 61
1539955778.062532 61
1539955778.326131 62
1539955778.589711 61
1539955778.853417 61
1539955779.116899 61
1539955779.381210 62
1539955779.645495 62
1539955779.909055 61
1539955780.172969 61
1539955780.436534 61
1539955780.701151 61
1539955780.964829 61
1539955781.228871 61
1539955781.493363 61
1539955781.757196 61
1539955782.020681 61
1539955782.288731 61
1539955782.552744 62
1539955782.816497 62
1539955783.080199 62
1539955783.343794 60
1539955783.608047 60
1539955783.871964 61
1539955784.136006 61
1539955784.399912 61
1539955784.663521 61
1539955784.927252 61
BENCHMARK ENDED
