BENCHMARK STARTED
1539953537.446664 54
1539953537.865021 54
1539953538.282646 54
1539953538.694071 54
1539953539.103674 54
1539953539.520108 54
1539953539.937505 54
1539953540.346638 54
1539953540.793367 54
1539953541.231073 54
1539953541.636155 54
1539953542.045107 54
1539953542.474739 54
1539953542.894922 54
1539953543.306084 54
1539953543.720251 54
1539953544.161460 54
1539953544.577837 54
1539953544.999572 54
1539953545.420039 55
1539953545.856891 54
1539953546.277911 54
1539953546.696077 54
1539953547.105320 54
1539953547.600219 54
1539953548.039009 54
1539953548.459912 54
1539953548.869208 54
1539953549.354086 54
1539953549.793661 54
1539953550.210320 54
1539953550.618618 54
1539953551.045443 53
1539953551.465108 54
1539953551.882781 54
1539953552.301239 54
1539953552.755128 54
1539953553.165767 54
1539953553.587812 54
1539953554.004880 54
1539953554.493884 54
1539953554.924484 54
1539953555.340915 54
1539953555.750634 54
1539953556.228476 54
1539953556.637691 54
1539953557.046515 54
1539953557.465769 54
1539953557.905678 54
1539953558.316738 54
1539953558.729637 54
1539953559.135320 54
1539953559.563695 54
1539953559.979784 54
1539953560.400395 54
1539953560.807829 54
1539953561.219114 54
1539953561.628917 54
1539953562.037193 54
1539953562.488534 54
1539953562.928387 55
1539953563.347975 54
1539953563.758256 54
1539953564.215740 54
1539953564.624457 54
1539953565.040726 54
1539953565.458525 54
1539953565.955579 54
1539953566.396895 54
1539953566.820048 54
1539953567.231508 54
1539953567.680480 54
1539953568.101488 54
1539953568.525041 54
1539953568.941489 55
1539953569.375517 54
1539953569.795484 54
1539953570.215843 54
1539953570.626753 54
1539953571.061932 54
1539953571.498961 54
1539953571.923125 54
1539953572.331519 54
1539953572.789162 54
1539953573.199178 55
1539953573.605596 54
1539953574.018601 54
1539953574.440633 54
1539953574.851518 54
1539953575.266105 54
1539953575.673411 55
1539953576.099302 54
1539953576.517732 54
1539953576.941029 54
1539953577.404579 54
1539953577.814104 54
1539953578.230912 54
1539953578.641288 54
1539953579.115499 54
1539953579.559944 54
1539953579.981301 54
1539953580.399537 54
1539953580.836453 54
1539953581.249378 54
1539953581.669775 54
1539953582.085244 54
1539953582.531887 53
1539953582.949267 54
1539953583.361506 54
1539953583.776046 54
1539953584.253770 54
1539953584.689010 54
1539953585.107911 54
1539953585.522813 54
1539953585.967172 54
1539953586.381180 54
1539953586.804755 55
1539953587.209082 54
1539953587.652051 54
1539953588.068968 55
1539953588.488111 54
1539953588.904511 54
1539953589.399463 54
1539953589.818040 54
1539953590.232487 54
1539953590.643708 55
1539953591.083193 54
1539953591.507778 54
1539953591.924492 54
1539953592.335352 55
1539953592.777539 54
1539953593.187752 55
1539953593.596813 54
1539953594.014794 54
1539953594.473785 54
1539953594.885220 54
1539953595.299458 54
1539953595.704397 54
1539953596.123220 54
1539953596.535642 54
1539953596.955539 54
1539953597.368149 54
1539953597.793125 54
1539953598.201072 54
1539953598.613942 55
1539953599.076232 54
1539953599.496515 55
1539953599.919856 54
1539953600.329214 54
1539953600.805080 54
1539953601.236780 54
1539953601.658112 54
1539953602.066741 53
1539953602.553650 54
1539953602.993698 54
1539953603.419690 55
1539953603.830683 54
1539953604.315666 54
1539953604.750120 55
1539953605.164631 54
1539953605.573429 55
1539953606.034534 54
1539953606.454197 54
1539953606.873140 55
1539953607.290768 54
1539953607.760535 54
1539953608.166839 54
1539953608.581815 54
1539953609.002047 54
1539953609.445805 54
1539953609.855412 54
1539953610.269974 54
1539953610.680960 54
1539953611.094380 54
1539953611.509079 54
1539953611.926897 55
1539953612.350903 54
1539953612.803724 54
1539953613.216413 54
1539953613.633429 54
1539953614.113097 54
1539953614.552142 54
1539953614.975619 54
1539953615.390240 54
1539953615.853825 54
1539953616.268891 54
1539953616.688602 54
1539953617.098334 54
1539953617.566547 54
1539953617.987544 54
1539953618.411517 54
1539953618.822127 54
1539953619.258894 54
1539953619.671616 54
1539953620.087380 54
1539953620.504920 54
1539953620.955323 54
1539953621.370296 54
1539953621.795819 54
1539953622.202031 54
1539953622.681024 54
1539953623.092999 54
1539953623.515257 54
1539953623.933190 54
1539953624.380319 54
1539953624.798259 54
1539953625.215330 55
1539953625.624552 55
1539953626.097741 54
1539953626.525875 54
1539953626.951442 54
1539953627.363993 54
1539953627.786324 54
1539953628.201071 55
1539953628.619636 54
1539953629.030750 54
1539953629.500130 54
1539953629.936544 54
1539953630.354769 54
1539953630.766900 54
1539953631.212659 54
1539953631.627545 54
1539953632.039772 55
1539953632.454977 54
1539953632.915969 54
1539953633.326829 54
1539953633.739065 54
1539953634.146711 54
1539953634.569688 54
1539953634.984977 54
1539953635.401178 54
1539953635.809342 54
1539953636.224098 54
1539953636.633717 54
1539953637.040633 54
1539953637.495385 54
1539953637.945318 55
1539953638.362050 54
1539953638.776750 55
1539953639.211695 54
1539953639.625126 54
1539953640.043449 54
1539953640.458851 54
1539953640.874082 54
1539953641.294558 54
1539953641.712373 54
1539953642.121126 54
1539953642.595393 54
1539953643.032087 54
1539953643.457850 54
1539953643.869171 54
1539953644.332390 54
1539953644.743696 54
1539953645.160239 54
1539953645.569080 54
1539953646.023787 54
1539953646.445462 55
1539953646.860474 54
1539953647.276687 54
1539953647.728739 54
1539953648.141894 54
1539953648.571566 54
1539953648.990407 54
1539953649.466685 54
1539953649.886519 54
1539953650.304459 54
1539953650.715742 54
1539953651.163244 54
1539953651.574822 54
1539953651.994955 55
1539953652.411982 54
1539953652.863787 54
1539953653.282554 54
1539953653.694065 53
1539953654.105340 54
1539953654.553495 54
1539953654.972020 55
1539953655.384692 54
1539953655.801143 54
1539953656.217455 54
1539953656.626561 54
1539953657.043956 54
1539953657.482579 54
1539953657.926626 54
1539953658.335478 54
1539953658.755730 55
1539953659.207654 54
1539953659.620276 54
1539953660.044670 54
1539953660.464765 54
1539953660.960525 54
1539953661.393621 54
1539953661.820652 54
1539953662.232200 54
1539953662.697916 54
1539953663.113273 54
1539953663.538571 54
1539953663.957724 54
1539953664.448888 54
1539953664.865499 54
1539953665.281849 55
1539953665.692341 54
1539953666.152375 54
1539953666.565918 54
1539953666.985448 54
1539953667.400765 54
1539953667.838929 54
1539953668.251954 54
1539953668.663417 54
