BENCHMARK STARTED
1539957240.179099 54
1539957240.684756 54
1539957241.109265 54
1539957241.537801 54
1539957241.950149 54
1539957242.400537 54
1539957242.814247 54
1539957243.226790 54
1539957243.642197 54
1539957244.065183 54
1539957244.482037 54
1539957244.903581 54
1539957245.343491 54
1539957245.772867 54
1539957246.186369 54
1539957246.612275 53
1539957247.086434 54
1539957247.504036 54
1539957247.928178 54
1539957248.338717 54
1539957248.783108 54
1539957249.199845 54
1539957249.622779 54
1539957250.044350 53
1539957250.538439 54
1539957250.971751 54
1539957251.396755 54
1539957251.809423 54
1539957252.283760 55
1539957252.719952 54
1539957253.141160 54
1539957253.559574 54
1539957254.020725 54
1539957254.437938 54
1539957254.850227 54
1539957255.265487 55
1539957255.685793 54
1539957256.103334 55
1539957256.523380 54
1539957256.936607 54
1539957257.372155 54
1539957257.786018 54
1539957258.193032 54
1539957258.622399 54
1539957259.045419 54
1539957259.471215 54
1539957259.888968 54
1539957260.333022 54
1539957260.750096 54
1539957261.174934 54
1539957261.592859 54
1539957262.046360 55
1539957262.463603 54
1539957262.888978 54
1539957263.304427 54
1539957263.765127 55
1539957264.181414 53
1539957264.607950 55
1539957265.026465 54
1539957265.470336 54
1539957265.899541 54
1539957266.325835 54
1539957266.740213 54
1539957267.216354 54
1539957267.631929 54
1539957268.058684 54
1539957268.474590 54
1539957268.898336 54
1539957269.313464 54
1539957269.725944 54
1539957270.140030 54
1539957270.560407 54
1539957270.975855 54
1539957271.389746 54
1539957271.811632 54
1539957272.229047 54
1539957272.642762 54
1539957273.066071 54
1539957273.544069 54
1539957273.956848 54
1539957274.383150 54
1539957274.794271 54
1539957275.273186 53
1539957275.713291 54
1539957276.135444 54
1539957276.555930 54
1539957277.015859 54
1539957277.434500 54
1539957277.849321 54
1539957278.261956 54
1539957278.753761 54
1539957279.190140 54
1539957279.614043 54
1539957280.034699 54
1539957280.495974 54
1539957280.910711 54
1539957281.324499 54
1539957281.738907 54
1539957282.165246 54
1539957282.585034 55
1539957283.008143 54
1539957283.422503 54
1539957283.836575 54
1539957284.250727 54
1539957284.664543 54
1539957285.098521 54
1539957285.518130 54
1539957285.940746 54
1539957286.359634 54
1539957286.835719 54
1539957287.252698 54
1539957287.664935 54
1539957288.099191 54
1539957288.553493 54
1539957288.965241 54
1539957289.393666 54
1539957289.806218 55
1539957290.249674 54
1539957290.665631 54
1539957291.087946 54
1539957291.505744 54
1539957291.988749 54
1539957292.406100 54
1539957292.824790 54
1539957293.239326 54
1539957293.693792 55
1539957294.113423 54
1539957294.533621 54
1539957294.944659 54
1539957295.363501 54
1539957295.780230 54
1539957296.192076 54
1539957296.621922 54
1539957297.059328 55
1539957297.475394 54
1539957297.897781 54
1539957298.343432 54
1539957298.760574 54
1539957299.180149 54
1539957299.605210 54
1539957300.095952 54
1539957300.536738 54
1539957300.957931 54
1539957301.376295 54
1539957301.830799 54
1539957302.249526 54
1539957302.662767 54
1539957303.081381 54
1539957303.541963 54
1539957303.956064 54
1539957304.376922 54
1539957304.790004 54
1539957305.246221 54
1539957305.661749 54
1539957306.079799 54
1539957306.493881 54
1539957306.910495 54
1539957307.323399 54
1539957307.733716 55
1539957308.144975 54
1539957308.599875 54
1539957309.015085 54
1539957309.435649 54
1539957309.896005 54
1539957310.316585 54
1539957310.738670 55
1539957311.151467 55
1539957311.590541 54
1539957312.010558 55
1539957312.430197 54
1539957312.839847 54
1539957313.318763 54
1539957313.760213 54
1539957314.179152 55
1539957314.598542 54
1539957315.079592 55
1539957315.500371 55
1539957315.916705 54
1539957316.328200 54
1539957316.803655 54
1539957317.228630 54
1539957317.649395 54
1539957318.067714 54
1539957318.505304 55
1539957318.919157 54
1539957319.330548 54
1539957319.741301 55
1539957320.158108 54
1539957320.575176 54
1539957320.994356 54
1539957321.437315 54
1539957321.874851 54
1539957322.288009 54
1539957322.709036 54
1539957323.144192 54
1539957323.569312 55
1539957323.996701 54
1539957324.410793 54
1539957324.883024 54
1539957325.321317 54
1539957325.740912 54
1539957326.154236 55
1539957326.607480 54
1539957327.044075 54
1539957327.470360 54
1539957327.887900 54
1539957328.344172 54
1539957328.760613 54
1539957329.175549 54
1539957329.596923 54
1539957330.038056 54
1539957330.453059 54
1539957330.872057 54
1539957331.286370 54
1539957331.703108 54
1539957332.117866 55
1539957332.541966 54
1539957333.008583 54
1539957333.452417 54
1539957333.879151 54
1539957334.294041 54
1539957334.783738 54
1539957335.217886 54
1539957335.637928 54
1539957336.055266 55
1539957336.545287 55
1539957336.973330 55
1539957337.389004 54
1539957337.800170 54
1539957338.243037 55
1539957338.655706 55
1539957339.074271 54
1539957339.492140 54
1539957339.934040 54
1539957340.346461 55
1539957340.763101 55
1539957341.178912 54
1539957341.603859 55
1539957342.020995 54
1539957342.433972 55
1539957342.875685 55
1539957343.301021 54
1539957343.715733 54
1539957344.139791 54
1539957344.574501 54
1539957344.993823 54
1539957345.416184 54
1539957345.829480 55
1539957346.316681 55
1539957346.751856 54
1539957347.170792 54
1539957347.592645 54
1539957348.086193 54
1539957348.524439 55
1539957348.944223 54
1539957349.366429 54
1539957349.801308 55
1539957350.216181 55
1539957350.628633 54
1539957351.047548 55
1539957351.460127 54
1539957351.879751 54
1539957352.292300 55
1539957352.703224 55
1539957353.146364 55
1539957353.562683 54
1539957353.988956 54
1539957354.433568 54
1539957354.870240 55
1539957355.290556 55
1539957355.705257 54
1539957356.196220 54
1539957356.638264 54
1539957357.062234 54
1539957357.480777 54
1539957357.965687 54
1539957358.402624 55
1539957358.822393 55
1539957359.235393 55
1539957359.684314 55
1539957360.104798 55
1539957360.525615 55
1539957360.937431 54
1539957361.365759 54
1539957361.778691 54
1539957362.193534 55
1539957362.609936 54
1539957363.030907 54
1539957363.439312 55
1539957363.845167 55
1539957364.295662 54
1539957364.742310 55
1539957365.167513 54
1539957365.589473 55
1539957366.045076 55
1539957366.462716 54
1539957366.887831 55
1539957367.299248 55
1539957367.785296 55
1539957368.220865 55
1539957368.639757 54
1539957369.058900 54
1539957369.500821 55
1539957369.919094 54
1539957370.333388 54
1539957370.746885 54
1539957371.171830 54
1539957371.602430 54
1539957372.020350 54
1539957372.432943 54
1539957372.901473 54
1539957373.315947 54
1539957373.729217 54
1539957374.140908 54
1539957374.575066 54
1539957374.988228 54
1539957375.402032 54
1539957375.815448 55
1539957376.231373 54
1539957376.657907 54
1539957377.074027 54
1539957377.538730 55
1539957377.974904 55
1539957378.398921 54
1539957378.813915 54
1539957379.285852 54
1539957379.699100 55
1539957380.121571 55
1539957380.539799 54
1539957381.026080 54
1539957381.475953 54
1539957381.901598 55
1539957382.308961 54
1539957382.761108 55
1539957383.175324 55
1539957383.603025 54
1539957384.019069 55
1539957384.496484 54
1539957384.907955 54
1539957385.322301 54
1539957385.734775 54
1539957386.178823 54
1539957386.601860 54
1539957387.030803 54
1539957387.441994 54
1539957387.857564 54
1539957388.265206 54
1539957388.679491 54
1539957389.144939 54
1539957389.573730 54
1539957389.998593 54
1539957390.411765 54
1539957390.893023 55
1539957391.333111 54
1539957391.754138 55
1539957392.170112 55
1539957392.622055 55
1539957393.044044 54
1539957393.465091 55
1539957393.884072 54
1539957394.306731 54
1539957394.722563 55
1539957395.143973 55
1539957395.563421 54
1539957396.043000 54
1539957396.455782 54
1539957396.872650 54
1539957397.286240 55
1539957397.724896 54
1539957398.136106 55
1539957398.548438 55
1539957398.958703 54
1539957399.378715 55
1539957399.794806 55
1539957400.205248 54
1539957400.618945 55
1539957401.066159 54
1539957401.481939 54
1539957401.902917 55
1539957402.383737 54
1539957402.828334 54
1539957403.246071 55
1539957403.659286 54
1539957404.112355 54
1539957404.532374 55
1539957404.949853 54
1539957405.364778 54
1539957405.855450 54
1539957406.290793 55
1539957406.709891 55
1539957407.122130 55
1539957407.563959 55
1539957407.993635 55
1539957408.406022 54
1539957408.819871 54
1539957409.266317 54
1539957409.680268 54
1539957410.100213 55
1539957410.514453 55
1539957410.943497 54
1539957411.359557 55
1539957411.770908 55
1539957412.178525 54
1539957412.599564 55
1539957413.015811 55
1539957413.428052 54
1539957413.876010 54
1539957414.290751 55
1539957414.705713 54
1539957415.126663 54
1539957415.604613 54
1539957416.058292 54
1539957416.483490 54
1539957416.890505 54
1539957417.327699 55
1539957417.744936 54
1539957418.166394 55
1539957418.586170 55
1539957419.035638 55
1539957419.455072 54
1539957419.880399 55
1539957420.293026 55
1539957420.743295 54
1539957421.158905 54
1539957421.576130 55
1539957421.993731 54
1539957422.487271 55
1539957422.901458 54
1539957423.322308 54
1539957423.737796 55
1539957424.189619 55
1539957424.607917 55
1539957425.031308 55
1539957425.444130 55
1539957425.862618 55
1539957426.275741 55
1539957426.691104 55
1539957427.118274 54
1539957427.558765 55
1539957427.972483 54
1539957428.394694 55
1539957428.816921 54
1539957429.231316 55
1539957429.651550 55
1539957430.070667 55
1539957430.519667 55
1539957430.931614 54
1539957431.354090 54
1539957431.769051 55
1539957432.204357 55
1539957432.621468 54
1539957433.050327 54
1539957433.465328 55
1539957433.908974 54
1539957434.323577 55
1539957434.745448 55
1539957435.161216 54
1539957435.653838 54
1539957436.139728 55
1539957436.561124 54
1539957436.966395 55
1539957437.455553 55
1539957437.889515 54
1539957438.308309 54
1539957438.722014 55
1539957439.181362 54
1539957439.603337 54
1539957440.023721 54
1539957440.439846 55
1539957440.858904 55
1539957441.273340 54
1539957441.689379 55
1539957442.136112 54
1539957442.579889 54
1539957443.004959 55
1539957443.418936 54
1539957443.874720 54
1539957444.292942 55
1539957444.717700 55
1539957445.131515 54
1539957445.590683 54
1539957446.012268 54
1539957446.438332 54
1539957446.856482 54
1539957447.303148 55
1539957447.720108 55
1539957448.141732 54
1539957448.559356 55
1539957449.035259 55
1539957449.449810 55
1539957449.876837 54
1539957450.290469 54
1539957450.746676 54
1539957451.170330 54
1539957451.593302 54
1539957452.010926 54
1539957452.458238 55
1539957452.875227 55
1539957453.288212 55
1539957453.704763 55
1539957454.123543 54
1539957454.544635 55
1539957454.959402 54
1539957455.426785 55
1539957455.877868 54
1539957456.293611 54
1539957456.708002 55
1539957457.198713 54
1539957457.631306 55
1539957458.073313 54
1539957458.495654 54
1539957458.958456 54
1539957459.379250 55
1539957459.797497 55
1539957460.211238 54
1539957460.652407 54
1539957461.072131 55
1539957461.493195 54
1539957461.905658 54
1539957462.333312 54
1539957462.750781 55
1539957463.165454 54
1539957463.581985 54
1539957464.005356 54
1539957464.422237 55
1539957464.835555 55
1539957465.271106 55
1539957465.684727 54
1539957466.115014 55
1539957466.534893 54
1539957467.002369 55
1539957467.440715 55
1539957467.866110 54
1539957468.282237 54
1539957468.765501 54
1539957469.188665 54
1539957469.611659 54
1539957470.028722 55
1539957470.516565 55
1539957470.929118 54
1539957471.344276 55
1539957471.758330 55
1539957472.228808 55
1539957472.642269 54
1539957473.060863 55
1539957473.474368 55
1539957473.901507 55
1539957474.313941 55
1539957474.731695 55
1539957475.143612 55
1539957475.564674 54
1539957475.984145 54
1539957476.402466 54
1539957476.873119 55
1539957477.302741 54
1539957477.722792 54
1539957478.137519 54
1539957478.581093 55
1539957479.002255 54
1539957479.434903 55
1539957479.849382 54
1539957480.291088 55
1539957480.703294 55
1539957481.129579 54
1539957481.548992 54
1539957481.989944 55
1539957482.405396 54
1539957482.827955 54
1539957483.241197 54
1539957483.683154 55
1539957484.109591 55
1539957484.533231 54
1539957484.945345 55
1539957485.430430 54
1539957485.846042 54
1539957486.264628 54
1539957486.675123 54
1539957487.118477 55
1539957487.534518 55
1539957487.942774 54
1539957488.357663 54
1539957488.773561 54
1539957489.188569 54
1539957489.608670 55
1539957490.058141 54
1539957490.499044 55
1539957490.908852 54
1539957491.334676 55
1539957491.787516 54
1539957492.203246 54
1539957492.626519 55
1539957493.043134 54
1539957493.502715 55
1539957493.915515 55
1539957494.338783 54
1539957494.750503 54
1539957495.186477 54
1539957495.610944 54
1539957496.030995 54
1539957496.444268 54
1539957496.882748 55
1539957497.298914 54
1539957497.719845 55
1539957498.134907 54
1539957498.625383 55
1539957499.068613 55
1539957499.493176 54
1539957499.904846 55
1539957500.375594 55
1539957500.788906 55
1539957501.205412 54
1539957501.621842 54
1539957502.084060 54
1539957502.505766 54
1539957502.920012 54
1539957503.336756 55
1539957503.753466 54
1539957504.166378 54
1539957504.585155 54
1539957505.000787 55
1539957505.448143 55
1539957505.862852 54
1539957506.286125 54
1539957506.756876 54
1539957507.203317 55
1539957507.623216 55
1539957508.039729 55
1539957508.494303 54
1539957508.908767 54
1539957509.323818 54
1539957509.734266 54
1539957510.214101 54
1539957510.659466 55
1539957511.089485 54
1539957511.506841 55
1539957511.948730 55
1539957512.364855 54
1539957512.776717 55
1539957513.185428 55
1539957513.636411 54
1539957514.050046 54
1539957514.460901 54
1539957514.876135 54
