BENCHMARK STARTED
1539954872.287976 53
1539954872.569450 54
1539954872.850128 54
1539954873.132386 54
1539954873.413587 55
1539954873.695427 54
1539954873.977447 54
1539954874.261316 55
1539954874.545169 55
1539954874.826307 55
1539954875.108718 55
1539954875.389350 54
1539954875.670786 55
1539954875.952160 55
1539954876.233691 56
1539954876.516217 55
1539954876.799540 55
1539954877.079813 55
1539954877.362144 56
1539954877.643439 55
1539954877.926139 55
1539954878.207510 55
1539954878.488388 55
1539954878.769650 55
1539954879.050606 55
1539954879.333004 55
1539954879.614538 55
1539954879.896053 56
1539954880.177510 55
1539954880.459139 56
1539954880.740243 56
1539954881.020843 55
1539954881.302315 56
1539954881.584306 56
1539954881.864902 55
1539954882.147952 55
1539954882.430574 55
1539954882.711623 56
1539954882.993299 56
1539954883.274143 55
1539954883.580675 55
1539954883.862789 55
1539954884.143734 55
1539954884.426196 55
1539954884.707666 56
1539954884.988963 55
1539954885.271803 56
1539954885.552906 56
1539954885.834772 56
1539954886.116423 55
1539954886.397430 55
1539954886.678875 56
1539954886.960323 56
1539954887.243646 56
1539954887.527684 56
1539954887.808782 56
1539954888.091066 56
1539954888.372593 56
1539954888.654067 56
1539954888.936082 55
1539954889.217454 55
1539954889.498586 56
1539954889.779286 56
1539954890.061622 56
1539954890.342755 56
1539954890.623761 56
1539954890.905190 55
1539954891.186591 55
1539954891.468441 56
1539954891.749397 56
1539954892.030269 56
1539954892.312295 56
1539954892.593344 56
1539954892.874314 56
1539954893.155677 56
1539954893.438658 55
1539954893.719847 55
1539954894.001248 55
1539954894.287964 55
1539954894.569491 58
1539954894.850723 56
1539954895.131955 56
1539954895.413242 56
1539954895.695549 56
1539954895.976677 56
1539954896.261209 56
1539954896.545726 56
1539954896.827211 56
1539954897.110145 58
1539954897.391195 56
1539954897.672050 56
1539954897.953651 56
1539954898.235582 56
1539954898.548559 55
1539954898.831074 55
1539954899.112485 56
1539954899.394120 56
1539954899.675134 56
1539954899.955698 56
1539954900.240095 56
1539954900.525598 56
1539954900.807633 56
1539954901.089679 56
1539954901.370952 56
1539954901.651697 56
1539954901.934566 56
1539954902.216226 56
1539954902.497631 56
1539954902.778539 56
1539954903.059856 56
1539954903.341511 58
1539954903.623523 58
1539954903.904646 56
1539954904.186414 56
1539954904.468293 56
1539954904.748978 56
1539954905.031332 58
1539954905.312840 56
1539954905.593817 56
1539954905.875563 56
1539954906.157056 56
1539954906.438836 56
1539954906.719952 56
1539954907.001168 56
1539954907.283434 56
1539954907.565080 56
1539954907.846606 56
1539954908.128482 56
1539954908.409366 56
1539954908.689897 56
1539954908.971204 56
1539954909.256071 56
1539954909.541361 56
1539954909.822712 58
1539954910.104265 58
1539954910.385288 58
1539954910.666897 57
1539954910.948293 56
1539954911.229192 56
1539954911.511630 58
1539954911.793321 55
1539954912.075902 58
1539954912.357648 58
1539954912.638790 58
1539954912.921579 56
1539954913.202786 56
1539954913.504433 58
1539954913.796058 56
1539954914.077687 56
1539954914.359205 56
1539954914.640511 56
1539954914.924416 58
1539954915.206211 58
1539954915.487532 56
1539954915.769294 56
1539954916.051076 56
1539954916.332269 56
1539954916.613950 56
1539954916.895273 58
1539954917.176433 58
1539954917.458362 58
1539954917.739300 56
1539954918.020750 56
1539954918.302604 58
1539954918.584033 56
1539954918.864787 56
1539954919.146143 56
1539954919.428951 58
1539954919.709144 56
1539954919.991543 56
1539954920.273678 58
1539954920.554776 58
1539954920.836559 58
1539954921.118955 58
1539954921.400760 56
1539954921.681999 58
1539954921.963609 58
1539954922.248224 58
1539954922.530678 58
1539954922.812252 58
1539954923.093743 58
1539954923.374593 58
1539954923.656351 58
1539954923.939008 58
1539954924.221331 56
1539954924.503017 58
1539954924.784268 58
1539954925.064826 58
1539954925.345385 56
1539954925.627642 56
1539954925.909028 58
1539954926.190394 56
1539954926.472977 58
1539954926.754364 58
1539954927.036512 56
1539954927.318285 58
1539954927.599366 58
1539954927.881047 56
1539954928.162242 58
1539954928.468244 56
1539954928.755866 56
1539954929.037058 56
1539954929.318710 56
1539954929.600345 56
1539954929.881190 58
1539954930.164294 56
1539954930.445738 58
1539954930.728131 58
1539954931.010050 58
1539954931.291261 58
1539954931.572780 58
1539954931.854353 58
1539954932.135519 58
1539954932.418627 58
1539954932.699819 58
1539954932.982523 58
1539954933.266249 56
1539954933.548581 56
1539954933.829692 58
1539954934.111342 58
1539954934.392751 58
1539954934.674079 58
1539954934.956453 58
1539954935.239494 58
1539954935.525316 58
1539954935.806858 58
1539954936.088978 58
1539954936.371342 58
1539954936.652162 58
1539954936.935116 58
1539954937.217581 58
1539954937.498730 58
1539954937.780704 58
1539954938.062184 58
1539954938.343507 58
1539954938.624897 58
1539954938.906287 58
1539954939.189430 58
1539954939.471222 58
1539954939.752873 58
1539954940.034647 58
1539954940.315927 58
1539954940.597729 58
1539954940.879047 58
1539954941.160812 58
1539954941.444409 58
1539954941.726603 56
1539954942.009958 56
1539954942.291441 58
1539954942.572880 58
1539954942.854379 58
1539954943.135943 58
1539954943.444458 58
1539954943.727167 58
1539954944.008886 58
1539954944.290560 58
1539954944.572063 58
1539954944.854925 58
1539954945.136621 58
1539954945.419373 58
1539954945.701141 58
1539954945.982202 58
1539954946.266515 58
1539954946.549312 58
1539954946.830907 58
1539954947.113539 58
1539954947.394475 56
1539954947.676077 58
1539954947.959044 58
1539954948.242675 58
1539954948.527963 58
1539954948.809555 58
1539954949.090916 58
1539954949.372497 58
1539954949.654000 58
1539954949.937672 58
1539954950.219244 58
1539954950.500968 58
1539954950.782466 58
1539954951.063956 58
1539954951.345889 58
1539954951.627449 58
1539954951.909243 58
1539954952.191677 58
1539954952.473882 58
1539954952.755673 58
1539954953.037168 58
1539954953.318503 56
1539954953.600349 56
1539954953.881624 58
1539954954.164558 58
1539954954.445879 58
1539954954.727565 58
1539954955.009312 58
1539954955.290828 58
1539954955.572399 58
1539954955.853540 58
1539954956.135288 58
1539954956.419439 58
1539954956.701122 58
1539954956.982989 58
1539954957.266357 58
1539954957.548742 58
1539954957.830599 58
1539954958.112295 56
1539954958.411462 56
1539954958.694217 58
1539954958.976291 58
1539954959.261137 58
1539954959.545257 58
1539954959.828175 58
1539954960.109624 58
1539954960.391072 58
1539954960.673113 58
1539954960.954780 58
1539954961.236910 58
1539954961.525273 58
1539954961.806726 58
1539954962.088176 58
1539954962.369505 58
1539954962.660575 58
1539954962.948687 58
1539954963.230941 58
1539954963.512877 59
1539954963.793956 58
1539954964.074807 58
1539954964.356653 58
1539954964.638154 58
1539954964.921765 58
1539954965.203258 58
1539954965.484525 58
1539954965.766281 58
1539954966.047769 58
1539954966.329702 58
1539954966.611519 58
1539954966.892791 58
1539954967.175066 58
1539954967.456689 58
1539954967.738941 58
1539954968.020439 58
1539954968.301987 58
1539954968.583637 58
1539954968.864723 58
1539954969.147225 58
1539954969.429949 58
1539954969.710848 58
1539954969.992674 58
1539954970.274175 58
1539954970.555782 58
1539954970.837069 58
1539954971.119247 58
1539954971.401634 58
1539954971.682227 58
1539954971.964573 58
1539954972.248603 58
1539954972.531522 58
1539954972.813268 58
1539954973.094819 58
1539954973.380969 58
1539954973.663296 58
1539954973.944321 58
1539954974.226174 58
1539954974.507796 58
1539954974.789089 58
1539954975.070746 58
1539954975.352120 58
1539954975.634784 58
1539954975.916386 58
1539954976.200783 58
1539954976.482885 58
1539954976.764208 58
1539954977.045205 58
1539954977.326663 58
1539954977.630549 58
1539954977.918860 58
1539954978.200597 58
1539954978.482613 58
1539954978.763970 58
1539954979.045521 58
1539954979.328801 58
1539954979.610227 58
1539954979.892013 58
1539954980.173883 58
1539954980.455178 58
1539954980.736693 58
1539954981.018214 58
1539954981.299941 58
1539954981.581563 58
1539954981.862990 58
1539954982.145107 58
1539954982.428292 58
1539954982.710134 58
1539954982.991572 58
1539954983.272716 58
1539954983.553939 58
1539954983.835401 58
1539954984.117675 58
1539954984.399473 58
1539954984.681215 58
1539954984.962918 58
1539954985.247492 58
1539954985.531142 58
1539954985.812463 58
1539954986.094146 58
1539954986.376294 58
1539954986.658160 58
1539954986.941242 58
1539954987.222585 58
1539954987.503828 58
1539954987.785121 58
1539954988.066511 58
1539954988.349655 58
1539954988.631188 58
1539954988.912705 58
1539954989.195792 58
1539954989.477900 58
1539954989.759781 58
1539954990.040639 58
1539954990.322105 58
1539954990.604140 58
1539954990.885379 58
1539954991.168947 58
1539954991.451954 58
1539954991.733714 58
1539954992.015368 58
1539954992.296836 58
1539954992.606430 58
1539954992.888262 58
1539954993.169987 58
1539954993.453152 58
1539954993.734849 59
1539954994.018057 59
1539954994.299621 58
1539954994.581209 58
1539954994.863169 58
1539954995.144493 58
1539954995.426193 58
1539954995.709318 58
1539954995.990559 58
1539954996.272796 58
1539954996.554269 58
1539954996.835685 58
1539954997.118105 58
1539954997.398992 58
1539954997.680920 58
1539954997.962854 58
1539954998.247371 58
1539954998.531011 58
1539954998.812067 58
1539954999.094618 58
1539954999.376438 58
1539954999.658080 58
1539954999.941058 58
1539955000.222573 58
1539955000.504862 58
1539955000.786155 58
1539955001.067874 58
1539955001.350604 58
1539955001.631515 58
1539955001.912120 58
1539955002.194093 58
1539955002.476023 58
1539955002.757986 58
1539955003.039605 58
1539955003.322185 59
1539955003.604318 59
1539955003.885799 59
1539955004.167575 58
1539955004.450383 58
1539955004.732135 58
1539955005.013955 58
1539955005.295452 58
1539955005.577895 58
1539955005.859370 58
BENCHMARK ENDED
